index,id,url,#reviewers,#messages,#inline_comments,#unsolved_inline_comments,len_messages,churn,#revisions,#files,duration,len_description,subject categories,subject keywords,description categories,description keywords,subject,description
126026,qt%2Fqtbase~5.4~Ice552910227ffbe31c6e8716ff7896af7c4532ef,https://codereview.qt-project.org/93277,4,4,0,0,184,191,2,2,25.4672222222222,235,refactoring/,refactor|,refactoring/,refactor|,winrt: Refactor internal socket buffer,winrt: Refactor internal socket buffer  Simplify the temporary buffer usage by using the built-in WinRT Buffer class. This also allows one use of the local event loop to be removed.  Change-Id: Ice552910227ffbe31c6e8716ff7896af7c4532ef
126063,installer-framework%2Finstaller-framework~master~Ic7e30a7b3b3f339beda61170e63f69c4b8938beb,https://codereview.qt-project.org/90804,5,12,2,0,1280,174,5,2,718.531944444444,92,refactoring/,refactor|,refactoring/,refactor|,Refactor binary engine implementation.,Refactor binary engine implementation.  Change-Id: Ic7e30a7b3b3f339beda61170e63f69c4b8938beb
126151,qt-labs%2Ftalk-schedule~master~Id3c231b7e720311701b73f216895c774f4c93009,https://codereview.qt-project.org/92997,3,14,6,0,776,801,6,11,95.9772222222222,311,refactoring/,refactor|,refactoring/,refactor|,Refactor events/favorites list,"WIP Refactor events/favorites list  The two views uses the same design, so make one view to share between the two models and create a delegate to accomodate each model.  Add expected signals to c++ model so the changes are reflected into the views directly.  Change-Id: Id3c231b7e720311701b73f216895c774f4c93009"
126467,qt-labs%2Ftalk-schedule~master~I5e5dfce175b5aa0c6e3320f8e125b4f9af592e5d,https://codereview.qt-project.org/92741,3,17,2,0,1298,257,5,5,23.7741666666667,212,refactoring/,refactor|,refactoring/,refactor|,Refactor DaySwitcher,Refactor DaySwitcher  - Abandon DropDownMenu. Decision to have the three days in one row - Use a ListView to display the days - Update the date format to show  Change-Id: I5e5dfce175b5aa0c6e3320f8e125b4f9af592e5d
126551,qt-labs%2Ftalk-schedule~master~Id1a849f269f90c07319b19b7b5e7d0052122f3a7,https://codereview.qt-project.org/92693,3,4,0,0,163,25,2,2,5.63555555555556,100,refactoring/,refactor|,refactoring/,refactor|,Refactor the main to use QQmlApplicationEngine,Refactor the main to use QQmlApplicationEngine  Change-Id: Id1a849f269f90c07319b19b7b5e7d0052122f3a7
126648,qt%2Fqt~4.8~Ie9eec5ec54af16a8d19e34d04bdd993cc7bbd0f5,https://codereview.qt-project.org/92549,6,9,4,0,611,54,4,3,8.18277777777778,706,refactoring/,refactor|,refactoring/,refactor|,refactor disconnectFromFtp to remove cached entries when necessary,"backport: refactor disconnectFromFtp to remove cached entries when necessary  In cases where a cached ftp connection fails to connect, or a file transfer has failed, we should removed the cached connection. Since qnam has an idea of a single internal QFtp per full operation, when file transfers failed previously the cached connection would be reused for subsequent connections and thus fail. This was backported from a fix in the 5.3 branch.  [ChangeLog][QtNetwork][QNetworkAccessManager] QNetworkAccessManager now properly handles FTP transfer failures by removing failed cached ftp connections. This was backported from 5.3  Task-number: QTBUG-40797 Change-Id: Ie9eec5ec54af16a8d19e34d04bdd993cc7bbd0f5"
126652,qt%2Fqtbase~dev~I5893c6ed47462c473886c722a21577b1e8a23841,https://codereview.qt-project.org/90985,6,20,0,0,10882,248,7,2,482.971944444445,290,refactoring/,refactor|,refactoring/,refactor|,"Unify and refactor QString::to{Upper,Lower,CaseFolded}","Unify and refactor QString::to{Upper,Lower,CaseFolded}  This unifies the code for those three functions in one refactored template function, using QStringIterator. I don't think there's any loss of performance by doing that refactoring.  Change-Id: I5893c6ed47462c473886c722a21577b1e8a23841"
126788,qt%2Fqtbase~5.3~Ie090a39ceddd7e58a0d8baf7d01f2a08c70162e5,https://codereview.qt-project.org/92378,6,5,0,0,249,48,2,3,5.50222222222222,617,refactoring/,refactor|,refactoring/,refactor|,refactor disconnectFromFtp to remove cached entries when necessary,"refactor disconnectFromFtp to remove cached entries when necessary  In cases where a cached ftp connection fails to connect, or a file transfer has failed, we should removed the cached connection. Since qnam has an idea of a single internal QFtp per full operation, when file transfers failed previously the cached connection would be reused for subsequent connections and thus fail.  [ChangeLog][QtNetwork][QNetworkAccessManager] QNetworkAccessManager now properly handles FTP transfer failures by removing failed cached ftp connections.  Task-number: QTBUG-40797 Change-Id: Ie090a39ceddd7e58a0d8baf7d01f2a08c70162e5"
127527,qt%2Fqtbase~dev~Iab3d915e279ad6468a75ef6257794f12acd8cb65,https://codereview.qt-project.org/88859,3,13,0,0,625,395,4,4,867.674166666667,308,refactoring/,refactor|,refactoring/,refactor|,winrt: Refactor backing store,"winrt: Refactor backing store  Thanks to new features in ANGLE, the backing store implementation complexity can be greatly reduced. By using framebuffer blit extensions, no shader code is required, and the shader loading code and blit shader are removed.  Change-Id: Iab3d915e279ad6468a75ef6257794f12acd8cb65"
127574,qt%2Fqtbase~dev~I462ece3e5c8fe8be914e039ba391a28a77e0d771,https://codereview.qt-project.org/91560,5,9,0,0,791,42,3,1,7.93361111111111,384,refactoring/,refactor|,refactoring/,refactor|,Windows: Refactor QWindowsDragCursorWindow().,"Windows: Refactor QWindowsDragCursorWindow().  QWindowsDragCursorWindow is a helper window used to display the drag cursor when doing DnD by touch, in which case Windows hides the mouse cursor. Base it on QRasterWindow and fix the size calculation for device pixel ratio scaling.  Task-number: QTBUG-38858 Task-number: QTBUG-38993  Change-Id: I462ece3e5c8fe8be914e039ba391a28a77e0d771"
